Id,Label,timeset,modularity_class,weighted indegree,weighted outdegree,Weighted Degree,componentnumber,strongcompnum,Authority,Hub,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
4,Afghanistan,,7,6730130665.737,0,6730130665.737,0,0,0.070691,0,15,0,15,0,0,0,0
8,Albania,,23,898889334.4293,0,898889334.4293,0,1,0.065923,0,14,0,14,0,0,0,0
10,Antarctica,,7,19743656.335,0,19743656.335,0,2,0.028157,0,6,0,6,0,0,0,0
12,Algeria,,23,22267868178.891,0,22267868178.891,0,3,0.074484,0,16,0,16,0,0,0,0
16,American Samoa,,7,65839520,0,65839520,0,4,0.033163,0,7,0,7,0,0,0,0
20,Andorra,,23,278998392,0,278998392,0,5,0.033638,0,7,0,7,0,0,0,0
24,Angola,,23,10591211738.9,0,10591211738.9,0,6,0.074484,0,16,0,16,0,0,0,0
28,Antigua and Barbuda,,26,1047180721.688,0,1047180721.688,0,7,0.061339,0,13,0,13,0,0,0,0
31,Azerbaijan,,23,4255895447.878,0,4255895447.878,0,8,0.074484,0,16,0,16,0,0,0,0
32,Argentina,,23,40497191270.7,0,40497191270.7,0,9,0.074484,0,16,0,16,0,0,0,0
36,Australia,,7,126563942980.6,178488647540.90027,305052590521.50024,0,224,0.070168,0.231222,15,184,199,2,0.812925,0.884937,51.291841
40,Austria,,23,75777172771.73999,0,75777172771.73999,0,77,0.074484,0,16,0,16,0,0,0,0
44,Bahamas,,26,7170042462.42,0,7170042462.42,0,103,0.074484,0,16,0,16,0,0,0,0
48,Bahrain,,7,9135655527.37,0,9135655527.37,0,33,0.074484,0,16,0,16,0,0,0,0
50,Bangladesh,,7,30130930087.85,0,30130930087.85,0,32,0.074484,0,16,0,16,0,0,0,0
51,Armenia,,23,1879855211.202,0,1879855211.202,0,31,0.070691,0,15,0,15,0,0,0,0
52,Barbados,,26,785236715.322,0,785236715.322,0,30,0.070235,0,15,0,15,0,0,0,0
56,Belgium,,23,165654046784.5,0,165654046784.5,0,99,0.074484,0,16,0,16,0,0,0,0
60,Bermuda,,7,3664960586.608,0,3664960586.608,0,98,0.070235,0,15,0,15,0,0,0,0
64,Bhutan,,7,458151654,0,458151654,0,135,0.038896,0,8,0,8,0,0,0,0
68,Bolivia,,23,3781926600.35,0,3781926600.35,0,116,0.074484,0,16,0,16,0,0,0,0
70,Bosnia Herzegovina,,23,1419148379.634,0,1419148379.634,0,76,0.066375,0,14,0,14,0,0,0,0
72,Botswana,,23,4879815555.688,0,4879815555.688,0,69,0.070691,0,15,0,15,0,0,0,0
76,Brazil,,23,105931467816.8,192181107918,298112575734.8,0,224,0.069929,0.244034,15,186,201,2,0.818493,0.889121,14.780175
84,Belize,,26,541859866.41,0,541859866.41,0,50,0.065588,0,14,0,14,0,0,0,0
86,Br. Indian Ocean Terr.,,7,11936337,0,11936337,0,204,0.009763,0,2,0,2,0,0,0,0
90,Solomon Isds,,7,229060690.55,0,229060690.55,0,51,0.052609,0,11,0,11,0,0,0,0
92,Br. Virgin Isds,,23,1502282074.64,0,1502282074.64,0,46,0.06082,0,13,0,13,0,0,0,0
96,Brunei Darussalam,,7,3608147136.0162,0,3608147136.0162,0,37,0.070235,0,15,0,15,0,0,0,0
100,Bulgaria,,23,9902388220.65,0,9902388220.65,0,36,0.074484,0,16,0,16,0,0,0,0
104,Myanmar,,23,15973423543.729,0,15973423543.729,0,35,0.074484,0,16,0,16,0,0,0,0
108,Burundi,,7,119412026.277,0,119412026.277,0,34,0.051967,0,11,0,11,0,0,0,0
112,Belarus,,23,19919158739.069,0,19919158739.069,0,119,0.070168,0,15,0,15,0,0,0,0
116,Cambodia,,23,6710019315.519,0,6710019315.519,0,118,0.074484,0,16,0,16,0,0,0,0
120,Cameroon,,23,3799901624.82,0,3799901624.82,0,117,0.069929,0,15,0,15,0,0,0,0
124,Canada,,26,342025157182.2,390253351194,732278508376.2,0,224,0.069774,0.252336,15,198,213,2,0.853571,0.914226,39.999223
